"doffin_referanse","navn","publisert_av","kunngjoring_type","kunngjoring_dato","tilbudsfrist_dato","lenke","søk","cpv","beskrivelse"
"Doffin referanse: 2022-363206","Rammeavtale for kartlegging av havner"," Publisert av: STATENS KARTVERK ","Kunngjøringstype: Tildeling","Kunngjøringsdato: 2022-03-13",NA,"/Notice/Details/2022-363206","cpv: 73000000+79300000+79400000+98342000","71355000","Kartverket har behov for konsulettjenester for å kartlegge havnedata."
"Doffin referanse: 2022-303346","Sambruk og naturforbedring i nordiske havvindparker"," Publisert av: Nordic Energy Research ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-13","2022-05-03","/Notice/Details/2022-303346","cpv: 73000000+79300000+79400000+98342000","73200000","Undersøke hvilke anbudsinstrumenter og partnerskap som trengs for å legge til rette for sambruk/naturforbedring i nordiske havvindparker, med sikte på å bistå myndighetene med å definere krav til konsesjon og plassering."
"Doffin referanse: 2022-375589","Konsulenttjenester innen organisasjonsutvikling, virksomhets- og økonomistyring"," Publisert av: Bærum kommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-13","2022-05-02","/Notice/Details/2022-375589","cpv: 73000000+79300000+79400000+98342000","79411100","Under kompetanseområdet organisasjonsutvikling, virksomhets- og økonomistyring er det behov for kompetanse innen en rekke fagområder, herunder bl.a.:
- Omstilling og effektivisering av tjenestetilbud
- Organisasjonsutvikling og kultur
- Strategiutvikling og implementering
- Gevinstestimering og gevinstrealisering
- Risikohåndtering, herunder bl.a. beredskapsplanlegging
- Utvikle virksomhetsstyringen, inkl. bruk av styringsinformasjon
- Porteføljestyring
- Kvalitetsstyring og -sikring
- Økonomisk styring og planlegging
- Klimaledelse
Klikk her https://permalink.mercell.com/174967858.aspx
"
"Doffin referanse: 2022-303150","Koronapandemiens langsiktige konsekvenser for elever på ungdomstrinnet"," Publisert av: Utdanningsdirektoratet ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-12","2022-04-11","/Notice/Details/2022-303150","cpv: 73000000+79300000+79400000+98342000","73110000","Utdanningsdirektoratet har behov for kunnskap om konsekvenser av koronapandemien for elever i grunnopplæringen. Overordnet har utlysningen til formål å få innhentet bedre kunnskap om opplæringssituasjonen for elever på ungdomstrinnet i perioden med pandemi, og om hvordan skolene arbeider for å kompensere for negative konsekvenser for elevene. Dette gjelder både tiltak som settes i verk for å reetablere en god skolehverdag for alle, og om særskilte tiltak rettet mot elever som har opplevd særlig negative konsekvenser. 
Klikk her https://permalink.mercell.com/174909777.aspx
"
"Doffin referanse: 2022-329394","Konsulenttjenester innen evalueringer, analyser og utredninger"," Publisert av: Bærum kommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-12","2022-04-25","/Notice/Details/2022-329394","cpv: 73000000+79300000+79400000+98342000","79300000","Under kompetanseområdet evalueringer, analyser og utredninger er det behov for kompetanse innen en rekke fagområder, herunder bl.a.:
- Analysearbeid (for eksempel samfunnsøkonomisk analyse)
- Statistikk og utvikling
- Evalueringer - av bl.a. prosjekter, tiltak, organisering mm, eksempler
- Utredninger
- Kartlegginger og undersøkelser (for eksempel innen klima, sirkulærøkonomi og bruker- og innbyggermedvirkning)
Klikk her https://permalink.mercell.com/174939592.aspx
"
"Doffin referanse: 2022-349963","Rekrutteringstjenester og organisasjonsutvikling"," Publisert av: Oslo kommune v/Klimaetaten ","Kunngjøringstype: Tildeling","Kunngjøringsdato: 2022-03-12",NA,"/Notice/Details/2022-349963","cpv: 73000000+79300000+79400000+98342000","79600000","Anskaffelsens formål er at Klimaetaten får den støtten etaten trenger for å gjennomføre rekruttering av nødvendig personell med riktig kompetanse, samt å få gjennomført ulike oppdrag innenfor organisasjonsutvikling. Anskaffelsen skal være et supplement til tjenester som kan leveres av Utviklings- og kompetanseetaten (UKE) i Oslo kommune.
Anskaffelsen skal dekke behovet for spisskompetanse både i rekrutteringsprosesser og OU-prosesser, men skal også sikre en forutsigbarhet og kontinuitet over tid på disse områdene. Rekrutteringsbistand gjelder i særdeleshet, men ikke begrenset til, lederstillinger og stillinger som krever særskilt kompetanse.
Anskaffelsen er delt opp i to delområder:
1) Rekrutteringstjenester.
2) Organisasjonsutvikling.
Det er anledning til å gi tilbud på ett eller begge delområder.
"
"Doffin referanse: 2022-364953","Nordisk veikart for innføring av bærekraftig null-karbon drivstoff i skipsfarten"," Publisert av: Klima- og miljødepartementet ","Kunngjøringstype: Tildeling","Kunngjøringsdato: 2022-03-12",NA,"/Notice/Details/2022-364953","cpv: 73000000+79300000+79400000+98342000","73000000","Denne anskaffelsen gjelder anskaffelse av et dedikert prosjektteam for utvikling av et nordisk veikart for innføring av bærekraftig null-karbon drivstoff i skipsfarten.
Gjennom Nordisk ministerråd har et prosjekt for utvikling av et nordisk veikart for innføring av bærekraftig null-karbonbrensel i skipsfarten blitt bevilget midler på opptil 18 millioner DKK. Prosjektet vil løpe over en fireårsperiode (1. kvartal 2022 til 4. kvartal 2025).
Målet med prosjektet er å etablere et felles veikart for implementering av alternative drivstoff i hele Norden. Logistikk og sjøhandelsmønstre i regionen, så vel som det tilkoblede energimarkedet, gjør en felles strategi avgjørende for overgangen til nullutslippsfart i regionen. Veikartet vil ha stor betydning for myndigheter, industrien og andre relevante interessenter og også nyttig i konkrete maritime investeringsprosjekter.
"
"Doffin referanse: 2022-387629","Rammeavtale markedsanalyser"," Publisert av: Nye Veier ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-12","2022-04-13","/Notice/Details/2022-387629","cpv: 73000000+79300000+79400000+98342000","79310000","Nye Veier AS har jevnlig møter med aktuelle bransjer, aktører, leverandører, brukere og andre interessenter for innspill i forbindelse med arbeid med strategier og beslutningsprosesser i selskapet. Vi ser behovet for analyser til støtte i dette arbeidet. Nye Veier sitt behov for analyser vil kunne variere fra enkeltanalyser til større markedsanalyser.
Nye Veier ønsker å inngå rammeavtale for gjennomføring av markedsanalyser med én leverandør.
"
"Doffin referanse: 2022-328815","Rammeavtale - rådgivningstjenester byggesaksbehandling etter plan- og bygningsloven"," Publisert av: Kragerø kommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-12","2022-04-11","/Notice/Details/2022-328815","cpv: 73000000+79300000+79400000+98342000","71248000","Formålet med anskaffelsen er å inngå rammeavtale med én leverandør for å dekke Kragerø kommunes behov for rådgivertjenester innenfor området byggesaksbehandling. Leverandøren skal bistå med å behandle bygge – og delesaker, dispensasjonssøknader, klager og evt. ulovlighetsoppfølging.
Rammeavtalens verdi estimeres til NOK 5 000 000 ekskl. mva. over avtaleperioden inkludert opsjoner. Den maksimale verdien av rammeavtalen settes til NOK 6 000 000 ekskl. mva. over avtaleperioden inkludert opsjoner.
"
"Doffin referanse: 2022-373320","Leadership and People Development Services"," Publisert av: NORGES BANK ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-12","2022-04-12","/Notice/Details/2022-373320","cpv: 73000000+79300000+79400000+98342000","79633000","Norges Bank ønsker å inngå parallelle rammeavtaler med 3 - 6 konsulent-/opplæringsselskaper som kan bistå med best mulig gjennomføring av leder- og personutviklingsaktiviteter."
