"doffin_referanse","navn","publisert_av","kunngjoring_type","kunngjoring_dato","tilbudsfrist_dato","lenke","søk","cpv","beskrivelse"
"Doffin referanse: 2022-387264","Anskaffelse 20220019 Rammeavtale medarbeiderundersøkelser"," Publisert av: Skatteetaten ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-06","2022-04-07","/Notice/Details/2022-387264","cpv: 73000000+79300000+79400000+98342000","79311000","Medarbeiderundersøkelser:
Formål
Gjennomføre profesjonelle undersøkelser som ledd i å utvikle og forbedre organisasjonen.
"
"Doffin referanse: 2022-367941","Kjøp av juridiske tjenester"," Publisert av: INNOVASJON NORGE ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-06","2022-04-12","/Notice/Details/2022-367941","cpv: 73000000+79300000+79400000+98342000","79100000","Innovasjon Norge (heretter IN eller Oppdragsgiver) skal inngå rammeavtaler på følgende delområder:
- Delområde 1: Statsstøtterett
- Delområde 2: Øvrige juridiske tjenester, herunder
- Finansiering
- Arbeidsrett
- Offentlige anskaffelser og
- Øvrige rettsområder (se konkurransegrunnlaget)
"
"Doffin referanse: 2022-318072","Kontraktstildeling DPS - 22/00091 - Konsulentbistand økonomifunksjonalitet til NPE"," Publisert av: Norsk Helsenett SF ","Kunngjøringstype: Tildeling","Kunngjøringsdato: 2022-03-05",NA,"/Notice/Details/2022-318072","cpv: 73000000+79300000+79400000+98342000","79400000","Tildeling av kontrakt - 22/00091 - Konsulentbistand økonomifunksjonalitet til NPE"
"Doffin referanse: 2022-321988","Konsulenttjenester for næringsutvikling i Vadsø kommune"," Publisert av: Finnut Consult AS ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-05","2022-04-08","/Notice/Details/2022-321988","cpv: 73000000+79300000+79400000+98342000","79411100","På vegne av: 5405 Vadsø kommune "
"Doffin referanse: 2022-359995","Konsulent/prosjektleder til Klima-, energi- og miljøplan 2030 for Hustadvika kommune"," Publisert av: Hustadvika kommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-04","2022-03-31","/Notice/Details/2022-359995","cpv: 73000000+79300000+79400000+98342000","73300000","Det skal lages en temaplan når det gjelder klima-, energi- og miljø 2030 for Hustadvika kommune. Hustadvika kommune ønsker å leie inn konsulent/prosjektleder til planarbeidet"
"Doffin referanse: 2022-360090","Konsulenttjenester innen ledelsesutvikling"," Publisert av: Bærum kommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-04","2022-04-05","/Notice/Details/2022-360090","cpv: 73000000+79300000+79400000+98342000","79411100","Formålet med anskaffelsen er å etablere parallelle rammeavtaler som kan benyttes til å innhente nødvendig ekstern kompetanse til oppdragsgiver.
Avtalene skal dekke oppdragsgivers behov for kompetanse som ikke er tilgjengelig i egen virksomhet, eller der det er behov for selvstendig ekstern oppgaveløsning. Avtalene kan også benyttes ved behov for ekstra kapasitet og kompetanseoverføring.
Oppdragsgiver har listet opp noen fagområder som hører naturlig inn under kompetanseområdet ledelsesutvikling. Listene over fagområder er ikke uttømmende.
- Ledelsesutvikling
- Ledelsesutviklingsprogram for alle nivåer
- Utvikling av ledergrupper
- Ledercoaching
- Lederevaluering
Klikk her https://permalink.mercell.com/173923736.aspx
"
"Doffin referanse: 2022-313878","Usikkerhetsanalyse - eiendom- og samferdselsprosjekt"," Publisert av: Viken fylkeskommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-04","2022-04-04","/Notice/Details/2022-313878","cpv: 73000000+79300000+79400000+98342000","79419000","Kvalitetssikring opp imot kalkyle og løsningsvalg for eiendoms- og samferdselsprosjekter"
"Doffin referanse: 2022-383728","Prosjektleder for ny mobilitets- og betalingsplattform"," Publisert av: Vestland fylkeskommune ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-04","2022-03-30","/Notice/Details/2022-383728","cpv: 73000000+79300000+79400000+98342000","79000000","Viktige nye løsninger skal utvikles og iverksettes gjennom 2022. Bla. skal vi ha på plass nye betalingsautomater langs nye og gamle traseer for Bybanen i Bergen, vi skal utvikle nye løsninger for skolebarn og nye løsninger for næringsaktører som turistvirksomheter, konsertarrangører og andre som vil inkludere transport i sitt tilbud. Vesentlige deler av dette arbeidet skal sluttføres i 2022 samtidig som Skyss går inn i nye faser der vi skal tilrettelegge for flere modalitet som sykkel, sparkesykkel og andre delingstjenester. Til å støtte Skyss i dette arbeidet trenger vi kompetanse og kapasitet knyttet til forretningsutvikling og prosjektledelse av et komplekst prosjekt med mange parter involvert.
Skyss har behov for å engasjere kapasitet og kompetanse, bla. en erfaren prosjektleder, som skal yte bistand til Skyss i dette sentrale arbeidet.
"
"Doffin referanse: 2022-399428","Utvikle likeverdige og virksomme tiltak mot vold og diskriminering"," Publisert av: Barne-, ungdoms- og familiedirektoratet ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-03","2022-04-12","/Notice/Details/2022-399428","cpv: 73000000+79300000+79400000+98342000","73000000","Oppdraget omfatter åtte ulike delprosjekter innen vold og diskriminering, fire som er evalueringer, fire som er mer eksplorerende studier.
Oppdraget er et FoU-proskekt etter unntaksbestemmelsene i anskaffelsesforskriften.
"
"Doffin referanse: 2022-362764","Kartlegging av støtteapparatets veiledning av foreldre om døve barns språkutvikling og tilgang til tegnspråk"," Publisert av: Kultur- og likestillingsdepartementet ","Kunngjøringstype: Kunngjøring av konkurranse","Kunngjøringsdato: 2022-03-03","2022-03-30","/Notice/Details/2022-362764","cpv: 73000000+79300000+79400000+98342000","73000000","Formålet med oppdraget er å få kartlagt hvordan foreldre til døve og hørselshemmede barn opplever å bli møtt av støtteapparatet (med vekt på helse- og opplæringssektoren) og hvilken veiledning og hvilke råd ulike aktører gir til foreldre om norsk tegnspråk fra barna er nyfødte. Videre er oppdraget å kartlegge støtteapparatets føringer, rollefordeling, praksis og holdninger i oppfølgingen av døve og hørselshemmede barn, med vekt på informasjon om tegnspråk og tilnærming til flerspråklighet.
Oppdraget skal gjennomføres innenfor en sum på maksimalt 550 000 kroner ekskl. mva.
Oppdraget skal resultere i en skriftlig rapport som kan leveres i digital versjon, og som må beskrive metode og resultater av undersøkelsen.
Rapporten skal ferdigstilles og oversendes oppdragstaker seinest 30. november 2022.
"
